route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7479,,1,Centennial Oly. Park/Coronet Way,,3,,FFFF00,
7480,,2,Ponce de Leon  Ave/Moreland Ave,,3,,00FF00,
7481,,3,Martin Luther King Jr. Dr/Auburn Av,,3,,008080,
7482,,4,Thomasville/Moreland Avenue,,3,,00FF00,
7483,,5,Piedmont Road/Sandy Springs,,3,,008000,
7484,,6,Emory,,3,,00FFFF,
7485,,8,North Druid Hills Rd.,,3,,008000,
7486,,9,Toney Valley /Peachcrest Rd.,,3,,008080,
7487,,12,Howell Mill Rd/Cumberland,,3,,00FFFF,
7488,,13,Fair Street/Mozley Park,,3,,FFFF00,
7489,,15,South DeKalb/Candler,,3,,00FF00,
7490,,16,Noble,,3,,00FFFF,
7491,,19,Clairmont Road,,3,,808000,
7492,,21,Memorial Drive,,3,,00FF00,
7493,,24,East Lake/Hosea Williams,,3,,00FFFF,
7494,,25,Peachtree Industrial Blvd,,3,,FF00FF,
7495,,26,Perry Boulevard/North Avenue,,3,,FFFF00,
7496,,27,Cheshire Bridge Rd/Ansley Mall,,3,,808000,
7497,,30,LaVista Rd,,3,,00FF00,
7498,,32,Bouldercrest/Georgia Aquarium,,3,,00FFFF,
7499,,33,Briarcliff Road/Lenox,,3,,FFFF00,
7500,,34,Gresham/Clifton Springs,,3,,FF00FF,
7501,,36,North Decatur Rd/Virginia Highland,,3,,F0CAA6,
7502,,37,Defoors Ferry  Rd./Atlantic Station,,3,,80FF00,
7503,,39,Buford Highway,,3,,00FF00,
7504,,42,Pryor Road/McDaniel Street,,3,,008000,
7505,,47,I-85 Access Rd./Briarwood Rd.,,3,,8080FF,
7506,,49,McDonough Boulevard,,3,,008080,
7507,,50,Donald E Hollowell Pkwy.,,3,,0080FF,
7508,,51,Joseph E Boone Blvd/Dixie Hills,,3,,00FF00,
7509,,53,Skipper Drive/West Lake Avenue,,3,,00FFFF,
7510,,55,Jonesboro Rd/Hutchens Rd,,3,,0080FF,
