stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
27,907933,HAMILTON E HOLMES STATION,STONEHURST PL,33.754627,-84.468041,,,,
28,908023,WEST LAKE STATION,CSX TRANSPORTATION & ANDERSON AVE SW,33.752888,-84.446654,,,,
39,907906,WEST LAKE STATION,CSX TRANSPORTATION & ANDERSON AVE SW,33.75347,-84.446503,,,,
40,907907,HAMILTON E HOLMES STATION,CSX TRANSPORTATION & GA-280,33.754555,-84.467867,,,,
53,908051,DUNWOODY STATION,HAMMOND DR NE & UNNAMED,33.920638,-84.344736,,,,
57,908054,LINDBERGH  CENTER STATION,MOROSGO DR NE,33.823617,-84.36927,,,,
58,908055,LINDBERGH  CENTER STATION,MOROSGO DR NE,33.823608,-84.369226,,,,
61,908047,DUNWOODY STATION,HAMMOND DR NE & UNNAMED,33.920638,-84.344736,,,,
83,908186,BROOKHAVEN -OGLETHORPE STATION,DRESDEN DR NE & LENOX RD NE,33.860615,-84.338831,,,,
84,908187,BROOKHAVEN -OGLETHORPE STATION,DRESDEN DR NE & LENOX RD NE,33.860615,-84.338853,,,,
111,906369,ARTS CENTER STATION,0 PEACHTREE & 15TH,33.789283,-84.387125,,,,
112,906370,ARTS CENTER STATION,0 PEACHTREE & 15TH,33.789283,-84.387125,,,,
133,908374,MIDTOWN  STATION,PEACHTREE PL NE & PEACHTREE WALK NE,33.780737,-84.386657,,,,
134,908375,MIDTOWN STATION,PEACHTREE PL NE & PEACHTREE WALK NE,33.780737,-84.386657,,,,
185,908566,EAST LAKE STATION,GEORGIA & GRANT ST SE,33.765062,-84.312611,,,,
186,908567,EAST LAKE STATION,GEORGIA & GRANT ST SE,33.765062,-84.312611,,,,
193,908475,DECATUR STATION,N MCDONOUGH ST & GRANT ST SE,33.774449,-84.296907,,,,
195,908476,EDGEWOOD-CANDLER PARK STATION,GEORGIA & OAKDALE RD NE,33.761544,-84.340032,,,,
198,908618,GEORGIA STATE STATION,GEORGIA & BUTLER ST SE,33.749866,-84.385404,,,,
201,908696,GEORGIA STATE STATION,GEORGIA & BUTLER ST SE,33.749866,-84.385404,,,,
204,908699,EDGEWOOD-CANDLER PARK STATION,GEORGIA & OAKDALE RD NE,33.761812,-84.340064,,,,
206,908700,DECATUR STATION,N MCDONOUGH ST & GRANT ST SE,33.77444,-84.296907,,,,
