stop_id,stop_code,stop_name,stop_lat,stop_lon
100148,100148,MARTIN LUTHER KING J@CHICAMAUGA AVE,33.753823,-84.431838
99971061,210829,DEERFIELD PKWY@TWO VERIZON PLACE,34.093084,-84.271166
100150,100150,MARTIN LUTHER KING JR DR @ CHAPPELL RD,33.753841,-84.433273
100152,100152,FAIR ST@FIRST ST,33.748905,-84.425545
100154,100154,FAIR ST@FIRST ST,33.74933,-84.425226
100156,100156,FAIR ST@ROSSER ST,33.748913,-84.4245
100158,100158,FAIR ST@ROSSER ST,33.749313,-84.424186
100160,100160,FAIR ST@LAWTON ST,33.748913,-84.423424
100162,100162,FAIR ST@ABBOTT ST,33.749191,-84.419426
100164,100164,MARTIN LUTHER KING J DR@OLLIE ST,33.754608,-84.42143
100166,100166,LUCILE AVE@HOLDERNESS ST,33.742493,-84.426554
100168,100168,FAIR ST@ASHBY ST,33.749293,-84.418661
100170,100170,WESTVIEW DR@WESTVIEW PL,33.747696,-84.43442
101002,101002,W END AV SW @ LEE ST SW,33.744114,-84.414177
101004,101004,LEE ST SW@NORCROSS ST SW,33.743196,-84.414327
101006,101006,LEE ST SW@NORCROSS ST SW,33.743338,-84.413776
101008,101008,W END AVE SW @ WELLBORN ST SW,33.744457,-84.415237
101010,101010,PETERS ST SW@HAYNES ST SW,33.749214,-84.399712
101014,101014,FAIR ST SW@NORTHSIDE DR SW,33.749042,-84.40406
101016,101016,FAIR ST SW@WALNUT ST SW,33.749467,-84.40647
101018,101018,FAIR ST SW@VINE ST SW,33.749523,-84.407741
101020,101020,FAIR ST SW@ELM ST SW,33.749509,-84.40958
99288,900213,WELLINGTON ST@MARTIN LUTHER KING J,33.752451,-84.43835
99290,900214,LAUREL AVE SW@MARTIN LUTHER KING J,33.751918,-84.439959
99292,900215,LAUREL AVE SW@ARCHER ST SW,33.750663,-84.440032
99294,900216,MIMS ST SW@LAUREL AVE SW,33.749829,-84.439784
99296,900217,MARTIN LUTHER KING J DR SW@RACINE S,33.751751,-84.44126
99298,900218,MARTIN LUTHER KING J DR SW@FEDERAL,33.751611,-84.44244
99300,900219,MARTIN LUTHER KING J DR@LAKE AVE S,33.751277,-84.443876
99304,900220,LUCILE AVE SW@LANGHORN ST SW,33.742081,-84.432564
99306,900221,LUCILE AVE SW@MUSE ST SW,33.742374,-84.433716
99308,900222,LUCILE AVE SW@MUSE ST SW,33.742096,-84.433807
99310,900223,LUCILE AVE SW@ALTOONA PL SW,33.742546,-84.43499
99314,900135,LUCILE AVE SW@MATHEWSON PL SW,33.742775,-84.43615
99316,900136,LUCILE AVE@RALPH DAVID ABERNATHY BL,33.742699,-84.437103
99318,900137,VERBENA ST NW@PENELOPE DR NW,33.755096,-84.449506
99320,900138,RALPH DAVID ABERNATH@WELLINGTON,33.744278,-84.43866
99322,900139,RALPH DAVID ABERNATH@WELLINGTON,33.74432,-84.43911
99326,900140,CASCADE AVE SW@CASCADE CIR SW,33.726612,-84.444778
99328,900141,CASCADE AVE SW@KENMORE ST SW,33.727116,-84.444054
99330,900142,CASCADE AVE SW @ ORLANDO ST SW,33.727827,-84.443085
99332,900143,CASCADE AVE SW @ MAYFLOWER AVE SW,33.72868,-84.441727
99358,900147,CASCADE AVE SW@ALLEGHENY ST SW,33.734879,-84.436554
101044,101044,FAIR ST SW @ JAMES P BRAWLEY DR SW,33.749168,-84.413086
