route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7634,3,5483669,Route 1- Five Points Station,1,302971,100397
7634,3,5506865,Route 1- Five Points Station,1,303160,100397
7634,3,5493958,Route 1- Five Points Station,1,303160,100397
7634,3,5480687,Route 1- Five Points Station,1,303160,100397
7634,3,5480690,Route 1- Coronet Way,0,302971,100666
7634,3,5506868,Route 1- Coronet Way,0,303160,100666
7634,3,5516067,Route 1- Five Points Station,1,303160,100397
7634,3,5504909,Route 1- Coronet Way,0,302971,100666
7634,3,5506864,Route 1- Five Points Station,1,302971,100397
7634,3,5514581,Route 1- Coronet Way,0,302971,100666
7634,3,5483670,Route 1- Coronet Way,0,303160,100666
7634,3,5504907,Route 1- Five Points Station,1,302971,100397
7634,3,5506867,Route 1- Coronet Way,0,302971,100666
7634,3,5497314,Route 1- Five Points Station,1,302971,100397
7634,3,5483671,Route 1- Coronet Way,0,303160,100666
7634,3,5497318,Route 1- Coronet Way,0,303160,100666
7634,3,5506863,Route 1- Five Points Station,1,302971,100397
7634,3,5480688,Route 1- Five Points Station,1,302971,100397
7634,3,5493961,Route 1- Coronet Way,0,302971,100666
7634,3,5504911,Route 1- Coronet Way,0,302971,100666
7634,3,5495273,Route 1- Coronet Way,0,303160,100666
7634,3,5483668,Route 1- Five Points Station,1,303160,100397
7634,3,5504908,Route 1- Coronet Way,0,303160,100666
7634,3,5504913,Route 1- Coronet Way,0,302971,100666
7634,3,5493960,Route 1- Five Points Station,1,303160,100397
7634,3,5497316,Route 1- Five Points Station,1,303160,100397
7634,3,5515388,Route 1- Five Points Station,1,303160,100397
7634,3,5510212,Route 1- Five Points Station,1,302971,100397
7634,3,5483667,Route 1- Five Points Station,1,303160,100397
7634,3,5480686,Route 1- Five Points Station,1,302971,100397
7634,3,5487226,Route 1- Coronet Way,0,303160,100666
7634,3,5480691,Route 1- Coronet Way,0,302971,100666
7634,3,5504912,Route 1- Coronet Way,0,302971,100666
7634,3,5511077,Route 1- Five Points Station,1,302971,100397
7634,3,5506866,Route 1- Five Points Station,1,302971,100397
7634,3,5497315,Route 1- Five Points Station,1,303160,100397
7634,3,5511321,Route 1- Coronet Way,0,303160,100666
7634,3,5487225,Route 1- Five Points Station,1,303160,100397
7634,3,5495271,Route 1- Coronet Way,0,303160,100666
