service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,0,0,0,0,0,0,0,20200926,20201204
3,0,0,0,0,0,1,0,20200926,20201204
4,0,0,0,0,0,0,1,20200926,20201204
5,1,1,1,1,1,0,0,20200926,20201204
20,0,0,0,0,0,0,0,20200926,20201204
21,0,0,0,0,0,0,0,20200926,20201204
24,0,0,0,0,0,0,0,20200926,20201204
25,0,0,0,0,0,0,0,20200926,20201204
26,0,0,0,0,0,0,0,20200926,20201204
27,0,0,0,0,0,0,0,20200926,20201204
28,0,0,0,0,0,0,0,20200926,20201204
29,0,0,0,0,0,0,0,20200926,20201204
33,0,0,0,0,0,0,0,20200926,20201204
34,0,0,0,0,0,0,0,20200926,20201204
