route_short_name,direction_id,direction
1,1,Northbound
1,0,Southbound
2,1,Eastbound
2,0,Westbound
3,0,Eastbound
3,1,Westbound
4,1,Northbound
4,0,Southbound
5,1,Northbound
5,0,Southbound
6,1,Northbound
6,0,Southbound
8,0,Northbound
8,1,Southbound
9,1,Northbound
9,0,Southbound
12,1,Northbound
12,0,Southbound
13,0,Eastbound
13,1,Westbound
15,0,Northbound
15,1,Southbound
16,1,Northbound
16,0,Southbound
19,0,Northbound
19,1,Southbound
21,1,Eastbound
21,0,Westbound
24,1,Eastbound
24,0,Westbound
25,1,Northbound
25,0,Southbound
26,0,Eastbound
26,1,Westbound
27,1,Northbound
27,0,Southbound
30,1,Eastbound
30,0,Westbound
32,0,Northbound
32,1,Southbound
33,1,Northbound
33,0,Southbound
34,0,Northbound
34,1,Southbound
36,1,Eastbound
36,0,Westbound
37,1,Northbound
37,0,Southbound
39,1,Northbound
39,0,Southbound
42,0,Northbound
42,1,Southbound
47,1,Northbound
47,0,Southbound
49,0,Northbound
49,1,Southbound
50,0,Eastbound
50,1,Westbound
51,0,Eastbound
51,1,Westbound
53,0,Eastbound
53,1,Westbound
55,1,Northbound
55,0,Southbound
56,0,Eastbound
56,1,Westbound
58,0,Eastbound
58,1,Westbound
60,1,Northbound
60,0,Southbound
66,0,Northbound
66,1,Southbound
67,1,Eastbound
67,0,Westbound
68,0,Eastbound
68,1,Westbound
71,0,Eastbound
71,1,Westbound
73,0,Northbound
73,1,Southbound
74,1,Eastbound
74,0,Westbound
75,1,Northbound
75,0,Southbound
78,1,Eastbound
78,0,Westbound
81,0,Northbound
81,1,Southbound
82,1,Eastbound
82,0,Westbound
83,0,Eastbound
83,1,Westbound
84,0,Eastbound
84,1,Westbound
85,1,Northbound
85,0,Southbound
86,1,Eastbound
86,0,Westbound
87,1,Northbound
87,0,Southbound
89,0,Northbound
89,1,Southbound
93,0,Eastbound
93,1,Westbound
95,0,Northbound
95,1,Southbound
99,1,Northbound
99,0,Southbound
103,1,Northbound
103,0,Southbound
104,0,Northbound
104,1,Southbound
107,1,Eastbound
107,0,Westbound
110,0,Northbound
110,1,Southbound
111,0,Northbound
111,1,Southbound
114,0,Northbound
114,1,Southbound
115,0,Northbound
115,1,Southbound
116,1,Eastbound
116,0,Westbound
117,1,Northbound
117,0,Southbound
119,1,Eastbound
119,0,Westbound
120,1,Eastbound
120,0,Westbound
121,1,Eastbound
121,0,Westbound
123,1,Northbound
123,0,Southbound
124,1,Eastbound
124,0,Westbound
125,0,Northbound
125,1,Southbound
126,0,Eastbound
126,1,Westbound
132,1,Northbound
132,0,Southbound
140,1,Northbound
140,0,Southbound
143,1,Northbound
143,0,Southbound
148,1,Eastbound
148,0,Westbound
150,1,Eastbound
150,0,Westbound
153,1,Northbound
153,0,Southbound
155,0,Northbound
155,1,Southbound
162,0,Eastbound
162,1,Westbound
165,0,Eastbound
165,1,Westbound
170,0,Northbound
170,1,Southbound
172,0,Northbound
172,1,Southbound
178,0,Northbound
178,1,Southbound
180,0,Northbound
180,1,Southbound
181,0,Northbound
181,1,Southbound
183,0,Eastbound
183,1,Westbound
185,1,Northbound
185,0,Southbound
186,1,Eastbound
186,0,Westbound
189,0,Northbound
189,1,Southbound
193,1,Northbound
193,0,Southbound
201,0,Eastbound
201,1,Westbound
520,1,Eastbound
520,0,Westbound
521,1,Eastbound
521,0,Westbound
BLUE,0,Eastbound
BLUE,1,Westbound
GOLD,0,Northbound
GOLD,1,Southbound
GREEN,0,Eastbound
GREEN,1,Westbound
RED,0,Northbound
RED,1,Southbound
